City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
515,Huarmey,PE,76.53,overcast clouds,-10.0681,-78.1522,Hotel Miramar
516,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
518,Bandarbeyla,SO,76.32,clear sky,9.4942,50.8122,JABIR HOTEL
524,San Jose De Rio Tinto,HN,89.17,clear sky,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
525,Sindi,IN,70.68,clear sky,20.8,78.8667,Vaibhav Kudmati
526,Tres Picos,MX,85.19,clear sky,15.8667,-93.5333,Tres picos Chiapas
528,Ambilobe,MG,76.91,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
529,Kulhudhuffushi,MV,81.0,clear sky,6.6221,73.07,Haajy Guest House 1
531,San Lorenzo,PY,94.59,broken clouds,-25.3333,-57.5333,Hotel del Sur
532,Gambela,ET,89.2,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
534,Zvishavane,ZW,78.69,few clouds,-20.3267,30.0665,Hotel Boutique Runde
537,Americus,US,73.53,overcast clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
538,Abu Dhabi,AE,71.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
540,Whitianga,NZ,69.03,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
541,Hualmay,PE,76.26,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
542,Cape Canaveral,US,80.67,overcast clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
543,Samarai,PG,79.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
545,Trairi,BR,84.88,overcast clouds,-3.2778,-39.2689,janelas do mar
547,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
548,Alyangula,AU,84.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
549,Farafangana,MG,76.59,moderate rain,-22.8167,47.8333,Miarina
550,Ancud,CL,69.33,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
551,Esna,EG,66.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
552,Key West,US,78.01,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
553,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
554,Kalmunai,LK,76.48,clear sky,7.4167,81.8167,VS Villa
557,Yulara,AU,66.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
560,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
564,Plettenberg Bay,ZA,66.06,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
566,Phibun Mangsahan,TH,73.38,broken clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
567,Aguimes,ES,74.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
571,Aswan,EG,63.99,clear sky,24.0934,32.907,Nuba Nile
572,Luwuk,ID,77.0,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
574,Veraval,IN,69.49,few clouds,20.9,70.3667,Lords Inn Somnath
576,Canita,PA,92.5,scattered clouds,9.2097,-78.8811,Cuartos de Alquiler LV
577,Asfi,MA,65.28,broken clouds,32.2994,-9.2372,Hôtel Abda
578,Chipinge,ZW,70.74,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
580,Juruti,BR,85.5,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
581,Valparaiso,CL,70.03,few clouds,-33.0393,-71.6273,Hotel Ultramar
583,La Asuncion,VE,91.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
584,Port Blair,IN,78.84,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
585,Lucea,JM,84.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
586,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
591,Fomboni,KM,83.89,light rain,-12.28,43.7425,Auberge les abou
594,Mercedes,AR,83.17,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
596,Kavaratti,IN,79.72,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
