City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
176,Talaya,RU,61.3833,152.75,-14.82,98,100,4.14,overcast clouds
177,Bojnurd,IR,37.4747,57.329,40.64,49,25,8.77,scattered clouds
178,Belem,BR,-1.4558,-48.5044,83.48,80,75,5.39,moderate rain
179,Hay River,CA,60.8156,-115.7999,-27.56,99,94,6.49,overcast clouds
180,Gushikawa,JP,26.3544,127.8686,63.63,93,100,12.35,overcast clouds
181,Mar Del Plata,AR,-38.0023,-57.5575,76.08,83,100,1.99,moderate rain
182,Ahipara,NZ,-35.1667,173.1667,69.26,90,72,12.26,broken clouds
183,Marck,FR,50.949,1.9433,49.55,81,93,14.74,overcast clouds
184,Olafsvik,IS,64.8945,-23.7142,25.99,64,89,10.87,overcast clouds
185,Santarem,BR,-2.4431,-54.7083,85.93,59,96,6.46,overcast clouds
186,Kiunga,PG,-6.1219,141.2906,73.22,90,82,1.52,broken clouds
187,Tura,IN,25.5198,90.2201,58.44,59,3,5.14,clear sky
188,Hualmay,PE,-11.0964,-77.6139,74.26,71,96,9.15,overcast clouds
189,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,69,49,10.8,scattered clouds
190,Otautau,NZ,-46.15,168.0,53.44,85,100,0.51,moderate rain
191,Neuquen,AR,-38.9516,-68.0591,80.49,39,0,3.44,clear sky
192,Faanui,PF,-16.4833,-151.75,79.68,77,51,15.5,light rain
193,Torbay,CA,47.6666,-52.7314,36.57,76,67,7.0,broken clouds
194,Mackay,AU,-21.15,149.2,78.67,94,100,5.75,overcast clouds
195,Zhigansk,RU,66.7697,123.3711,-34.87,100,54,2.06,broken clouds
196,Saint-Pierre,RE,-21.3393,55.4781,79.18,100,75,46.04,moderate rain
197,Yerofey Pavlovich,RU,53.9667,121.9667,-14.35,95,75,3.56,broken clouds
198,Kahului,US,20.8947,-156.47,71.83,83,13,5.01,few clouds
199,Kandrian,PG,-6.2167,149.55,79.03,82,100,16.06,overcast clouds
200,Coari,BR,-4.085,-63.1414,78.42,85,100,2.48,overcast clouds
201,Tromso,NO,69.6496,18.957,15.82,73,0,3.44,clear sky
202,Mandalgovi,MN,45.7625,106.2708,3.56,74,1,9.64,clear sky
203,Ust-Tsilma,RU,65.441,52.1498,17.51,97,100,1.45,light snow
204,Flagstaff,US,35.1981,-111.6513,19.06,42,0,1.01,clear sky
205,Hasaki,JP,35.7333,140.8333,39.6,50,100,18.1,overcast clouds
206,Victoria,HK,22.2855,114.1577,56.32,84,100,1.01,overcast clouds
207,Hamilton,US,39.1834,-84.5333,33.12,94,100,3.0,mist
208,Khatanga,RU,71.9667,102.5,-33.16,100,23,1.7,few clouds
209,Manikganj,BD,23.8553,90.0125,73.38,52,88,8.1,overcast clouds
210,Salalah,OM,17.0151,54.0924,75.33,55,0,2.66,clear sky
211,Alice Springs,AU,-23.7,133.8833,62.15,72,100,9.22,overcast clouds
212,San Patricio,US,28.017,-97.5169,42.89,80,100,20.29,overcast clouds
213,Port Blair,IN,11.6667,92.75,76.66,73,33,7.67,scattered clouds
214,Belmonte,BR,-15.8631,-38.8828,84.7,58,39,7.74,scattered clouds
215,Zyryanka,RU,65.75,150.85,-24.72,97,11,9.37,few clouds
216,Conde,BR,-7.2597,-34.9075,86.74,55,97,14.7,overcast clouds
217,Heinola,FI,61.2056,26.0381,10.49,98,98,0.38,overcast clouds
218,Buchanan,LR,5.8808,-10.0467,91.36,61,40,13.27,scattered clouds
219,Mehamn,NO,71.0357,27.8492,21.38,74,100,8.5,light snow
220,Zwedru,LR,6.0667,-8.1281,99.14,19,12,1.81,few clouds
